region,sex,year,e0deficit_Q025,e0deficit_Q50,e0deficit_Q975,e0expected_Q50,e0observed,e0_deficit_pval,sig
NL,Total,2023,-1.102775,-0.672792,-0.301376,82.535164,81.85871,0,sig
NL,Total,2024,-1.164014,-0.701347,-0.242979,82.680728,81.975285,0.004,sig
NL,Total,2020-2024,-1.070628,-0.753173,-0.477396,82.402982,81.651444,0,sig
NO,Total,2020,-0.163976,-0.006789,0.162688,83.20001,83.199248,0.5,ns
NO,Total,2021,-0.456819,-0.246202,-0.012812,83.414474,83.173316,0.008,sig
NO,Total,2022,-1.205177,-0.987765,-0.73574,83.610794,82.616063,0,sig
NO,Total,2023,-1.059572,-0.778744,-0.494842,83.793482,83.019368,0,sig
NO,Total,2024,-1.111565,-0.786069,-0.474935,83.979874,83.186375,0,sig
NO,Total,2020-2024,-0.77047,-0.575202,-0.370007,83.60577,83.033138,0,sig
PL,Total,2020,-1.811266,-1.508523,-1.182423,77.98802,76.482307,0,sig
PL,Total,2021,-3.125658,-2.608672,-2.171364,78.148377,75.534864,0,sig
PL,Total,2022,-1.689295,-1.100144,-0.545471,78.324652,77.236914,0,sig
PL,Total,2023,-0.727405,-0.097035,0.566358,78.46741,78.369983,0.36,ns
PL,Total,2024,-0.59376,0.124879,0.77995,78.62728,78.748092,1,ns
PL,Total,2020-2024,-1.563173,-1.071943,-0.596756,78.316693,77.242092,0,sig
PT,Total,2020,-1.138709,-0.828377,-0.532948,82.215369,81.38631,0,sig
PT,Total,2021,-1.458496,-0.998924,-0.53701,82.401208,81.421658,0,sig
PT,Total,2022,-1.44362,-0.885261,-0.379858,82.578084,81.696689,0,sig
PT,Total,2023,-1.200296,-0.535186,0.113592,82.819557,82.283311,0.044,sig
PT,Total,2024,-1.140384,-0.457077,0.275788,83.00856,82.566317,0.108,ns
PT,Total,2020-2024,-1.190769,-0.734717,-0.274495,82.615502,81.87058,0,sig
SE,Total,2020,-0.996799,-0.74594,-0.478127,83.18931,82.449455,0,sig
SE,Total,2021,-0.664926,-0.310256,0.03968,83.353191,83.029627,0.044,sig
SE,Total,2022,-0.897384,-0.440259,0.003458,83.514772,83.069239,0.028,sig
SE,Total,2023,-0.910762,-0.409855,0.117258,83.662781,83.25878,0.056,ns
SE,Total,2024,-0.456547,0.012494,0.553776,83.824622,83.840816,1,ns
SE,Total,2020-2024,-0.766631,-0.38915,-0.026682,83.514902,83.12872,0.02,sig
SI,Total,2020,-1.569206,-1.207566,-0.741824,81.556587,80.372432,0,sig
SI,Total,2021,-1.773348,-1.154796,-0.652892,81.751477,80.603698,0,sig
SI,Total,2022,-1.348939,-0.695894,0.004449,81.966794,81.301574,0.012,sig
SI,Total,2023,-1.017645,-0.232071,0.531942,82.148337,81.943541,0.276,ns
SI,Total,2024,-0.807225,0.00351,0.731587,82.34794,82.344228,0.496,ns
SI,Total,2020-2024,-1.202582,-0.669055,-0.125371,81.960058,81.284278,0.004,sig
SK,Total,2020,-1.302847,-0.92911,-0.590556,77.776809,76.853682,0,sig
SK,Total,2021,-3.866867,-3.368101,-2.918239,77.967973,74.597491,0,sig
SK,Total,2022,-1.816831,-1.223481,-0.619838,78.196306,76.949633,0,sig
SK,Total,2023,-1.031256,-0.389154,0.333194,78.431752,78.042953,0.156,ns
SK,Total,2024,-1.065105,-0.248238,0.60008,78.614711,78.383459,0.256,ns
SK,Total,2020-2024,-1.784369,-1.291094,-0.797236,78.193639,76.9017,0,sig
TW,Total,2020,0.079017,0.370097,0.649965,80.769621,81.144497,1,ns
TW,Total,2021,-0.605006,-0.235489,0.182084,80.946418,80.726321,0.112,ns
