year,sex,region,e0_actual,e0_expected_avg,e0_expected_q050,e0_expected_q950,e0_deficit_avg,e0_deficit_q050,e0_deficit_q950,year_int,e0_deficit_pval,region_code_iso3166_2_alpha3,country_code_iso3166_1,country_code_iso3166_1_alpha3,region_code_stmf,calendar_stmf,region_code_hmd,region_code_wpp,region_code_coverage,region_name_en,region_name_de,region_name_short,region_level,country_name,hemisphere,continent,group,label
2021,Female,CH,85.633095,85.784134,85.292569,86.246114,-0.151039,-0.611404,0.328103,2021,0.304,CHE,CH,CHE,CHE,iso_week_date,CHE,756,Switzerland,Switzerland,Schweiz,CHE,0,Switzerland,n,Europe,A First wave peak,A First wave peak Switzerland
2022,Female,CH,85.354095,85.925402,85.345522,86.443065,-0.571306,-1.126638,-1.18e-4,2022,0.056,CHE,CH,CHE,CHE,iso_week_date,CHE,756,Switzerland,Switzerland,Schweiz,CHE,0,Switzerland,n,Europe,A First wave peak,A First wave peak Switzerland
2023,Female,CH,85.884396,86.083624,85.421453,86.709857,-0.199228,-0.82245,0.468179,2023,0.316,CHE,CH,CHE,CHE,iso_week_date,CHE,756,Switzerland,Switzerland,Schweiz,CHE,0,Switzerland,n,Europe,A First wave peak,A First wave peak Switzerland
2024,Female,CH,85.890933,86.202611,85.518511,86.886508,-0.311678,-0.99445,0.355074,2024,0.256,CHE,CH,CHE,CHE,iso_week_date,CHE,756,Switzerland,Switzerland,Schweiz,CHE,0,Switzerland,n,Europe,A First wave peak,A First wave peak Switzerland
2020-2024,Female,CH,85.577658,85.931784,85.453407,86.367011,-0.354125,-0.790192,0.114178,NA,0.12,CHE,CH,CHE,CHE,iso_week_date,CHE,756,Switzerland,Switzerland,Schweiz,CHE,0,Switzerland,n,Europe,A First wave peak,A First wave peak Switzerland
2020,Total,CH,83.071494,83.914621,83.637954,84.162587,-0.843127,-1.121886,-0.566945,2020,0,CHE,CH,CHE,CHE,iso_week_date,CHE,756,Switzerland,Switzerland,Schweiz,CHE,0,Switzerland,n,Europe,A First wave peak,A First wave peak Switzerland
2021,Total,CH,83.660828,84.094892,83.714653,84.45952,-0.434064,-0.810655,-0.064846,2021,0.02,CHE,CH,CHE,CHE,iso_week_date,CHE,756,Switzerland,Switzerland,Schweiz,CHE,0,Switzerland,n,Europe,A First wave peak,A First wave peak Switzerland
2022,Total,CH,83.527307,84.268766,83.870738,84.697546,-0.741459,-1.159243,-0.331558,2022,0,CHE,CH,CHE,CHE,iso_week_date,CHE,756,Switzerland,Switzerland,Schweiz,CHE,0,Switzerland,n,Europe,A First wave peak,A First wave peak Switzerland
2023,Total,CH,84.122319,84.461518,84.02843,84.88834,-0.339198,-0.793056,0.10168,2023,0.128,CHE,CH,CHE,CHE,iso_week_date,CHE,756,Switzerland,Switzerland,Schweiz,CHE,0,Switzerland,n,Europe,A First wave peak,A First wave peak Switzerland
2024,Total,CH,84.274228,84.624851,84.110162,85.152304,-0.350623,-0.888506,0.164856,2024,0.136,CHE,CH,CHE,CHE,iso_week_date,CHE,756,Switzerland,Switzerland,Schweiz,CHE,0,Switzerland,n,Europe,A First wave peak,A First wave peak Switzerland
2020-2024,Total,CH,83.729311,84.276042,83.917624,84.620273,-0.546731,-0.897306,-0.185549,NA,0.008,CHE,CH,CHE,CHE,iso_week_date,CHE,756,Switzerland,Switzerland,Schweiz,CHE,0,Switzerland,n,Europe,A First wave peak,A First wave peak Switzerland
2020,Male,CL,76.115548,77.770147,77.726316,77.811436,-1.654599,-1.740854,-1.576919,2020,0,CHL,CL,CHL,CHL,iso_week_date,CHL,152,Chile,Chile,Chile,CHL,0,Chile,s,South America,B Second wave peak,B Second wave peak Chile
2021,Male,CL,75.421079,77.988167,77.928111,78.048894,-2.567088,-2.662643,-2.458507,2021,0,CHL,CL,CHL,CHL,iso_week_date,CHL,152,Chile,Chile,Chile,CHL,0,Chile,s,South America,B Second wave peak,B Second wave peak Chile
2022,Male,CL,75.827583,78.198745,78.131554,78.276935,-2.371162,-2.486832,-2.268276,2022,0,CHL,CL,CHL,CHL,iso_week_date,CHL,152,Chile,Chile,Chile,CHL,0,Chile,s,South America,B Second wave peak,B Second wave peak Chile
2023,Male,CL,77.186363,78.404412,78.322977,78.486885,-1.218049,-1.346223,-1.108851,2023,0,CHL,CL,CHL,CHL,iso_week_date,CHL,152,Chile,Chile,Chile,CHL,0,Chile,s,South America,B Second wave peak,B Second wave peak Chile
2024,Male,CL,77.154889,78.603161,78.51342,78.692675,-1.448271,-1.551477,-1.326662,2024,0,CHL,CL,CHL,CHL,iso_week_date,CHL,152,Chile,Chile,Chile,CHL,0,Chile,s,South America,B Second wave peak,B Second wave peak Chile
2020-2024,Male,CL,76.341097,78.194828,78.137501,78.257504,-1.853731,-1.927858,-1.789752,NA,0,CHL,CL,CHL,CHL,iso_week_date,CHL,152,Chile,Chile,Chile,CHL,0,Chile,s,South America,B Second wave peak,B Second wave peak Chile
2020,Female,CL,81.885162,82.889191,82.830325,82.940582,-1.004028,-1.1076,-0.902074,2020,0,CHL,CL,CHL,CHL,iso_week_date,CHL,152,Chile,Chile,Chile,CHL,0,Chile,s,South America,B Second wave peak,B Second wave peak Chile
2021,Female,CL,81.213475,83.056631,82.978814,83.140029,-1.843156,-1.957285,-1.733019,2021,0,CHL,CL,CHL,CHL,iso_week_date,CHL,152,Chile,Chile,Chile,CHL,0,Chile,s,South America,B Second wave peak,B Second wave peak Chile
2022,Female,CL,81.533068,83.216893,83.124061,83.30413,-1.683825,-1.787855,-1.564469,2022,0,CHL,CL,CHL,CHL,iso_week_date,CHL,152,Chile,Chile,Chile,CHL,0,Chile,s,South America,B Second wave peak,B Second wave peak Chile
2023,Female,CL,82.609677,83.369546,83.274114,83.467093,-0.759869,-0.8754,-0.649412,2023,0,CHL,CL,CHL,CHL,iso_week_date,CHL,152,Chile,Chile,Chile,CHL,0,Chile,s,South America,B Second wave peak,B Second wave peak Chile
2024,Female,CL,82.563332,83.512988000000007,83.409103,83.634554,-0.949656,-1.090659,-0.82474,2024,0,CHL,CL,CHL,CHL,iso_week_date,CHL,152,Chile,Chile,Chile,CHL,0,Chile,s,South America,B Second wave peak,B Second wave peak Chile
2020-2024,Female,CL,81.961444,83.208498,83.137804,83.288669,-1.247054,-1.328484,-1.171005,NA,0,CHL,CL,CHL,CHL,iso_week_date,CHL,152,Chile,Chile,Chile,CHL,0,Chile,s,South America,B Second wave peak,B Second wave peak Chile
2020,Total,CL,79.021286,80.390693,80.353855,80.424616,-1.369407,-1.436121,-1.295443,2020,0,CHL,CL,CHL,CHL,iso_week_date,CHL,152,Chile,Chile,Chile,CHL,0,Chile,s,South America,B Second wave peak,B Second wave peak Chile
