region_iso,sex,year,e0_actual,e0_expected_lc
EE,Total,2010,75.814852,NA
EE,Total,2011,76.336827,NA
EE,Total,2012,76.373767,NA
EE,Total,2013,77.240154,NA
EE,Total,2014,77.095573,NA
EE,Total,2015,77.645268,NA
EE,Total,2016,77.745146,NA
EE,Total,2017,78.178862,NA
EE,Total,2018,78.326684,NA
EE,Total,2019,78.808615,NA
EE,Total,2020,78.762829,79.071531
EE,Total,2021,77.129604,79.372744
EE,Total,2022,78.084127,79.637177
EE,Total,2023,78.980223,79.899548
EE,Total,2024,79.476953,80.187677
ES,Male,2000,75.963788,NA
ES,Male,2001,76.292559,NA
ES,Male,2002,76.401331,NA
ES,Male,2003,76.42203,NA
ES,Male,2004,76.982278,NA
ES,Male,2005,77.01962,NA
ES,Male,2006,77.692271,NA
ES,Male,2007,77.7597,NA
ES,Male,2008,78.188882,NA
ES,Male,2009,78.573472,NA
ES,Male,2010,78.971657,NA
ES,Male,2011,79.21626,NA
ES,Male,2012,79.284676,NA
ES,Male,2013,79.833354,NA
ES,Male,2014,80.006272,NA
ES,Male,2015,79.810506,NA
ES,Male,2016,80.174056,NA
ES,Male,2017,80.252768,NA
ES,Male,2018,80.337245,NA
ES,Male,2019,80.731347,NA
ES,Male,2020,79.466882,80.9438
ES,Male,2021,80.150136,81.136675
ES,Male,2022,80.322786,81.315041
ES,Male,2023,81.081029,81.501444
ES,Male,2024,81.315431,81.668245
ES,Female,2000,82.863847,NA
ES,Female,2001,83.182226,NA
ES,Female,2002,83.256462,NA
ES,Female,2003,83.096312,NA
ES,Female,2004,83.680079,NA
ES,Female,2005,83.630053,NA
ES,Female,2006,84.232091,NA
ES,Female,2007,84.192448,NA
ES,Female,2008,84.366427,NA
ES,Female,2009,84.661779,NA
ES,Female,2010,85.016403,NA
ES,Female,2011,85.101427,NA
ES,Female,2012,85.07161,NA
ES,Female,2013,85.502886,NA
ES,Female,2014,85.607867,NA
ES,Female,2015,85.366349,NA
ES,Female,2016,85.783504,NA
ES,Female,2017,85.679621,NA
ES,Female,2018,85.810268,NA
ES,Female,2019,86.174502,NA
ES,Female,2020,85.000818,86.317721
ES,Female,2021,85.787475,86.450341
ES,Female,2022,85.711468,86.595954
ES,Female,2023,86.362077,86.689768
ES,Female,2024,86.64346,86.816773
ES,Total,2000,79.422956,NA
ES,Total,2001,79.748998,NA
ES,Total,2002,79.834913,NA
ES,Total,2003,79.762356,NA
ES,Total,2004,80.342116,NA
ES,Total,2005,80.327453,NA
ES,Total,2006,80.978413,NA
ES,Total,2007,80.987358,NA
ES,Total,2008,81.299047,NA
ES,Total,2009,81.642696,NA
ES,Total,2010,82.025141,NA
ES,Total,2011,82.192761,NA
ES,Total,2012,82.207097,NA
ES,Total,2013,82.70923,NA
ES,Total,2014,82.849313,NA
ES,Total,2015,82.618523,NA
ES,Total,2016,83.014748,NA
ES,Total,2017,83.004058,NA
ES,Total,2018,83.109057,NA
ES,Total,2019,83.494834,NA
ES,Total,2020,82.236835,83.674756
ES,Total,2021,82.988427,83.839876
ES,Total,2022,83.043854,84.003048
ES,Total,2023,83.765874,84.144804
ES,Total,2024,84.023882,84.290332
FI,Male,2000,74.139408,NA
FI,Male,2001,74.567943,NA
FI,Male,2002,74.847681,NA
FI,Male,2003,75.103381,NA
FI,Male,2004,75.294658,NA
FI,Male,2005,75.524616,NA
FI,Male,2006,75.790564,NA
FI,Male,2007,75.83977,NA
FI,Male,2008,76.332002,NA
FI,Male,2009,76.476758,NA
FI,Male,2010,76.707352,NA
FI,Male,2011,77.181977,NA
FI,Male,2012,77.49965,NA
FI,Male,2013,77.847183,NA
FI,Male,2014,78.170396,NA
FI,Male,2015,78.530441,NA
FI,Male,2016,78.4362,NA
FI,Male,2017,78.715696,NA
FI,Male,2018,78.905527,NA
FI,Male,2019,79.162396,NA
FI,Male,2020,79.013224,79.522228
FI,Male,2021,79.13315,79.786274
FI,Male,2022,78.628757,80.036563
FI,Male,2023,78.955378,80.284971
FI,Male,2024,79.673965,80.520054
FI,Female,2000,81.034842,NA
FI,Female,2001,81.543924,NA
FI,Female,2002,81.533131,NA
FI,Female,2003,81.810596,NA
FI,Female,2004,82.258845,NA
FI,Female,2005,82.303668,NA
FI,Female,2006,82.840469,NA
FI,Female,2007,82.858376,NA
FI,Female,2008,82.999235,NA
FI,Female,2009,83.104912,NA
FI,Female,2010,83.251586,NA
FI,Female,2011,83.53538,NA
FI,Female,2012,83.407862,NA
FI,Female,2013,83.821385,NA
FI,Female,2014,83.875645,NA
FI,Female,2015,84.137539,NA
FI,Female,2016,84.122825,NA
FI,Female,2017,84.217455,NA
FI,Female,2018,84.305796,NA
FI,Female,2019,84.525639,NA
FI,Female,2020,84.614762,84.78751
