region,year,e0deficit_Q025_Male,e0deficit_Q025_Female,e0deficit_Q50_Male,e0deficit_Q50_Female,e0deficit_Q975_Male,e0deficit_Q975_Female,e0expected_Q50_Male,e0expected_Q50_Female,e0observed_Male,e0observed_Female,maleexcessdeficit,highermaledeficit
NO,2021,-0.541394,-0.738048,-0.1611,-0.26994,0.275128,0.145744,81.743837,85.012149,81.58508,84.72984,-0.10884,FALSE
NO,2022,-1.55108,-1.290266,-1.090327,-0.827922,-0.603549,-0.245129,82.006198,85.172497,80.903932,84.345139,0.262405,TRUE
NO,2023,-1.40176,-1.304426,-0.829145,-0.676516,-0.243789,-0.094139,82.201303,85.301562,81.395377,84.627952,0.152629,TRUE
NO,2024,-1.433033,-1.362678,-0.869883,-0.645371,-0.276812,-0.003394,82.443724,85.456778,81.570138,84.800025,0.224512,TRUE
NO,2020-2024,-0.945802,-0.922955,-0.612249,-0.476708,-0.192248,-0.027199,81.98852,85.147507,81.379111,84.673952,0.135541,TRUE
PL,2020,-2.101334,-1.676735,-1.712873,-1.290074,-1.249083,-0.891589,74.187234,81.905799,72.474299,80.620895,0.422798,TRUE
PL,2021,-3.378977,-3.073121,-2.794536,-2.488885,-2.13323,-1.92413,74.432102,82.090599,71.634992,79.6002,0.305651,TRUE
PL,2022,-2.02585,-1.823669,-1.217157,-1.218979,-0.458601,-0.479962,74.652319,82.310199,73.418385,81.092948,-0.001822,FALSE
PL,2023,-1.131344,-1.158584,-0.178813,-0.430757,0.665707,0.336058,74.836486,82.474315,74.663327,82.03865,-0.251944,FALSE
PL,2024,-0.975443,-1.115565,0.011474,-0.240339,0.815202,0.560948,75.030549,82.653043,75.045157,82.413686,-0.251813,FALSE
PL,2020-2024,-1.896116,-1.690658,-1.242087,-1.157243,-0.572473,-0.578299,74.636867,82.296739,73.400638,81.132141,0.084843,TRUE
PT,2020,-1.291041,-1.453436,-0.898161,-0.883445,-0.435135,-0.351172,79.290108,85.125641,78.395217,84.236731,0.014716,TRUE
PT,2021,-1.794216,-1.816494,-1.106834,-1.027735,-0.506495,-0.386142,79.531242,85.317371,78.420751,84.304829,0.079098,TRUE
PT,2022,-1.70063,-2.112304,-0.945422,-1.088416,-0.203589,-0.236556,79.759959,85.563646,78.813295,84.454549,-0.142994,FALSE
PT,2023,-1.621409,-1.953772,-0.667729,-0.761124,0.22502,0.326356,80.04011,85.824897000000007,79.368495,85.054292,-0.093395,FALSE
PT,2024,-1.482965,-1.996665,-0.512762,-0.748256,0.410294,0.427284,80.275956,86.014394,79.734619,85.258899,-0.235494,FALSE
PT,2020-2024,-1.444877,-1.758146,-0.818589,-0.901896,-0.146418,-0.165379,79.773058,85.57055,78.948778,84.661576,-0.083307,FALSE
SE,2020,-1.162448,-0.951633,-0.903764,-0.583099,-0.617329,-0.252336,81.509265,84.903809,80.611124,84.319552,0.320665,TRUE
SE,2021,-0.893123,-0.638492,-0.469384,-0.215731,-0.112633,0.215548,81.680896,85.066991,81.222757,84.843383,0.253652,TRUE
SE,2022,-0.950136,-0.998084,-0.508821,-0.438028,-0.05076,0.107951,81.886862,85.179104,81.369916,84.761792,0.070793,TRUE
