region_iso,sex,year,model,e0_actual,e0_expected,e0_deficit,orig_cluster_assignment
IT,Total,2021,Lee-Carter,82.553914,83.593235,-1.039321,A
IT,Total,2021,LE random walk with drift,82.553914,83.626516,-1.072602,A
IT,Total,2021,ASDR random walk with drift,82.553914,83.614673,-1.060759,A
IT,Total,2022,Lee-Carter,82.703874,83.693206,-0.989332,A
IT,Total,2022,LE random walk with drift,82.703874,83.764078,-1.060204,A
IT,Total,2022,ASDR random walk with drift,82.703874,83.744603,-1.040729,A
IT,Total,2023,Lee-Carter,83.41682,83.791648,-0.374828,A
IT,Total,2023,LE random walk with drift,83.41682,83.90164,-0.484821,A
IT,Total,2023,ASDR random walk with drift,83.41682,83.873393,-0.456573,A
IT,Total,2024,Lee-Carter,83.747427,83.888594,-0.141167,A
IT,Total,2024,LE random walk with drift,83.747427,84.039203,-0.291776,A
IT,Total,2024,ASDR random walk with drift,83.747427,84.00105,-0.253623,A
JP,Total,2020,Lee-Carter,84.75103,84.677612,0.073419,C
JP,Total,2020,LE random walk with drift,84.75103,84.659904,0.091126,C
JP,Total,2020,ASDR random walk with drift,84.75103,84.64637,0.104661,C
JP,Total,2021,Lee-Carter,84.614807,84.840309,-0.225502,C
JP,Total,2021,LE random walk with drift,84.614807,84.832144,-0.217337,C
JP,Total,2021,ASDR random walk with drift,84.614807,84.803763,-0.188955,C
JP,Total,2022,Lee-Carter,84.119124,85.011017,-0.891892,C
JP,Total,2022,LE random walk with drift,84.119124,85.004384,-0.88526,C
JP,Total,2022,ASDR random walk with drift,84.119124,84.959834,-0.84071,C
JP,Total,2023,Lee-Carter,84.176171,85.191898,-1.015727,C
JP,Total,2023,LE random walk with drift,84.176171,85.176624,-1.000453,C
JP,Total,2023,ASDR random walk with drift,84.176171,85.114589,-0.938418,C
JP,Total,2024,Lee-Carter,84.16792,85.355515,-1.187595,C
JP,Total,2024,LE random walk with drift,84.16792,85.348864,-1.180944,C
JP,Total,2024,ASDR random walk with drift,84.16792,85.268032,-1.100112,C
LT,Total,2020,Lee-Carter,75.232805,76.732517,-1.499712,B
LT,Total,2020,LE random walk with drift,75.232805,76.749681,-1.516876,B
LT,Total,2020,ASDR random walk with drift,75.232805,76.716148,-1.483343,B
LT,Total,2021,Lee-Carter,74.28797,77.035667,-2.747697,B
LT,Total,2021,LE random walk with drift,74.28797,76.979668,-2.691698,B
LT,Total,2021,ASDR random walk with drift,74.28797,76.910638,-2.622668,B
LT,Total,2022,Lee-Carter,75.85494,77.339502,-1.484562,B
LT,Total,2022,LE random walk with drift,75.85494,77.209654,-1.354714,B
LT,Total,2022,ASDR random walk with drift,75.85494,77.102486,-1.247546,B
LT,Total,2023,Lee-Carter,77.445238,77.612021,-0.166782,B
LT,Total,2023,LE random walk with drift,77.445238,77.439641,0.005598,B
LT,Total,2023,ASDR random walk with drift,77.445238,77.291755,0.153483,B
LT,Total,2024,Lee-Carter,77.469631,77.888834,-0.419203,B
LT,Total,2024,LE random walk with drift,77.469631,77.669627,-0.199996,B
LT,Total,2024,ASDR random walk with drift,77.469631,77.478508,-0.008876,B
LU,Total,2020,Lee-Carter,81.951091,82.598259,-0.647168,A
LU,Total,2020,LE random walk with drift,81.951091,82.548489,-0.597397,A
LU,Total,2020,ASDR random walk with drift,81.951091,82.510341,-0.55925,A
LU,Total,2021,Lee-Carter,82.450859,82.771577,-0.320719,A
LU,Total,2021,LE random walk with drift,82.450859,82.791015,-0.340156,A
LU,Total,2021,ASDR random walk with drift,82.450859,82.718521,-0.267662,A
LU,Total,2022,Lee-Carter,82.755413,82.910115,-0.154702,A
LU,Total,2022,LE random walk with drift,82.755413,83.033541,-0.278128,A
LU,Total,2022,ASDR random walk with drift,82.755413,82.924042,-0.168629,A
LU,Total,2023,Lee-Carter,83.049494,83.019669,0.029826,A
LU,Total,2023,LE random walk with drift,83.049494,83.276067,-0.226573,A
LU,Total,2023,ASDR random walk with drift,83.049494,83.126955,-0.07746,A
LU,Total,2024,Lee-Carter,83.062026,83.167026,-0.105,A
LU,Total,2024,LE random walk with drift,83.062026,83.518593,-0.456567,A
LU,Total,2024,ASDR random walk with drift,83.062026,83.327308,-0.265281,A
LV,Total,2020,Lee-Carter,75.399029,75.815855,-0.416826,B
LV,Total,2020,LE random walk with drift,75.399029,75.923119,-0.52409,B
LV,Total,2020,ASDR random walk with drift,75.399029,75.881649,-0.482619,B
LV,Total,2021,Lee-Carter,73.138889,76.090932,-2.952043,B
LV,Total,2021,LE random walk with drift,73.138889,76.212521,-3.073633,B
LV,Total,2021,ASDR random walk with drift,73.138889,76.12749,-2.988602,B
LV,Total,2022,Lee-Carter,74.496275,76.361396,-1.8651199999999999,B
LV,Total,2022,LE random walk with drift,74.496275,76.501923,-2.005648,B
LV,Total,2022,ASDR random walk with drift,74.496275,76.370157,-1.873881,B
LV,Total,2023,Lee-Carter,75.565575,76.621133,-1.055557,B
LV,Total,2023,LE random walk with drift,75.565575,76.791326,-1.22575,B
LV,Total,2023,ASDR random walk with drift,75.565575,76.60973,-1.044154,B
LV,Total,2024,Lee-Carter,76.441243,76.881943,-0.4407,B
LV,Total,2024,LE random walk with drift,76.441243,77.080728,-0.639485,B
LV,Total,2024,ASDR random walk with drift,76.441243,76.846287,-0.405044,B
