group,region_iso,region_name_en,year,age_group,e0_cntrb_t_mean,region_ggflag
B Second wave peak,BG,Bulgaria,2024,80,0.22961,bg
B Second wave peak,BG,Bulgaria,2024,100,7.82e-4,bg
B Second wave peak,CZ,Czech Republic,2020,0,0.038817,cz
B Second wave peak,CZ,Czech Republic,2020,20,-0.04154,cz
B Second wave peak,CZ,Czech Republic,2020,40,-0.138559,cz
B Second wave peak,CZ,Czech Republic,2020,60,-0.428288,cz
B Second wave peak,CZ,Czech Republic,2020,80,-0.469797,cz
B Second wave peak,CZ,Czech Republic,2020,100,-0.003415,cz
B Second wave peak,CZ,Czech Republic,2020-2024,0,-0.006137,cz
B Second wave peak,CZ,Czech Republic,2020-2024,20,-0.045996,cz
B Second wave peak,CZ,Czech Republic,2020-2024,40,-0.150258,cz
B Second wave peak,CZ,Czech Republic,2020-2024,60,-0.392219,cz
B Second wave peak,CZ,Czech Republic,2020-2024,80,-0.262791,cz
B Second wave peak,CZ,Czech Republic,2020-2024,100,-0.00526,cz
B Second wave peak,CZ,Czech Republic,2021,0,0.016687,cz
B Second wave peak,CZ,Czech Republic,2021,20,-0.096917,cz
B Second wave peak,CZ,Czech Republic,2021,40,-0.340091,cz
B Second wave peak,CZ,Czech Republic,2021,60,-1.079941,cz
B Second wave peak,CZ,Czech Republic,2021,80,-0.545893,cz
B Second wave peak,CZ,Czech Republic,2021,100,-0.003559,cz
B Second wave peak,CZ,Czech Republic,2022,0,-0.047102,cz
B Second wave peak,CZ,Czech Republic,2022,20,-0.042396,cz
B Second wave peak,CZ,Czech Republic,2022,40,-0.133432,cz
B Second wave peak,CZ,Czech Republic,2022,60,-0.297369,cz
B Second wave peak,CZ,Czech Republic,2022,80,-0.285138,cz
B Second wave peak,CZ,Czech Republic,2022,100,-0.005449,cz
B Second wave peak,CZ,Czech Republic,2023,0,-0.012013,cz
B Second wave peak,CZ,Czech Republic,2023,20,-0.020546,cz
B Second wave peak,CZ,Czech Republic,2023,40,-0.072987,cz
B Second wave peak,CZ,Czech Republic,2023,60,-0.087172,cz
B Second wave peak,CZ,Czech Republic,2023,80,0.033753,cz
B Second wave peak,CZ,Czech Republic,2023,100,-0.007067,cz
B Second wave peak,CZ,Czech Republic,2024,0,-0.03115,cz
B Second wave peak,CZ,Czech Republic,2024,20,-0.02635,cz
B Second wave peak,CZ,Czech Republic,2024,40,-0.06053,cz
B Second wave peak,CZ,Czech Republic,2024,60,0.004866,cz
B Second wave peak,CZ,Czech Republic,2024,80,0.037164,cz
B Second wave peak,CZ,Czech Republic,2024,100,-0.0077,cz
B Second wave peak,EE,Estonia,2020,0,0.085235,ee
B Second wave peak,EE,Estonia,2020,20,0.117667,ee
B Second wave peak,EE,Estonia,2020,40,-0.28355,ee
B Second wave peak,EE,Estonia,2020,60,-0.191473,ee
B Second wave peak,EE,Estonia,2020,80,0.014302,ee
B Second wave peak,EE,Estonia,2020,100,-0.001409,ee
B Second wave peak,EE,Estonia,2020-2024,0,0.019606,ee
B Second wave peak,EE,Estonia,2020-2024,20,-0.015851,ee
B Second wave peak,EE,Estonia,2020-2024,40,-0.296992,ee
B Second wave peak,EE,Estonia,2020-2024,60,-0.486001,ee
B Second wave peak,EE,Estonia,2020-2024,80,-0.190028,ee
B Second wave peak,EE,Estonia,2020-2024,100,-0.001545,ee
B Second wave peak,EE,Estonia,2021,0,0.030733,ee
B Second wave peak,EE,Estonia,2021,20,-0.027939,ee
B Second wave peak,EE,Estonia,2021,40,-0.394352,ee
B Second wave peak,EE,Estonia,2021,60,-0.977767,ee
B Second wave peak,EE,Estonia,2021,80,-0.504676,ee
B Second wave peak,EE,Estonia,2021,100,-0.00456,ee
B Second wave peak,EE,Estonia,2022,0,-0.051392,ee
B Second wave peak,EE,Estonia,2022,20,-0.074481,ee
B Second wave peak,EE,Estonia,2022,40,-0.224882,ee
B Second wave peak,EE,Estonia,2022,60,-0.539315,ee
B Second wave peak,EE,Estonia,2022,80,-0.371619,ee
B Second wave peak,EE,Estonia,2022,100,-0.0023,ee
B Second wave peak,EE,Estonia,2023,0,-0.014012,ee
B Second wave peak,EE,Estonia,2023,20,-0.070869,ee
B Second wave peak,EE,Estonia,2023,40,-0.309425,ee
B Second wave peak,EE,Estonia,2023,60,-0.328617,ee
B Second wave peak,EE,Estonia,2023,80,-0.008831,ee
B Second wave peak,EE,Estonia,2023,100,0.004472,ee
B Second wave peak,EE,Estonia,2024,0,0.049976,ee
B Second wave peak,EE,Estonia,2024,20,-0.023742,ee
B Second wave peak,EE,Estonia,2024,40,-0.270197,ee
B Second wave peak,EE,Estonia,2024,60,-0.359782,ee
B Second wave peak,EE,Estonia,2024,80,-0.011391,ee
B Second wave peak,EE,Estonia,2024,100,0.003936,ee
B Second wave peak,GR,Greece,2020,0,0.055442,gr
B Second wave peak,GR,Greece,2020,20,0.031517,gr
B Second wave peak,GR,Greece,2020,40,-0.06248,gr
B Second wave peak,GR,Greece,2020,60,-0.314889,gr
B Second wave peak,GR,Greece,2020,80,-0.159829,gr
B Second wave peak,GR,Greece,2020,100,-0.007791,gr
B Second wave peak,GR,Greece,2020-2024,0,0.011614,gr
