region,sex,year,e0deficit_Q05,e0deficit_Q50,e0deficit_Q95,e0expected_Q50,e0observed
IS,Total,2024,-1.822047,-0.607765,0.548717,83.647544,83.034911
IS,Total,2020-2024,-1.396115,-0.565361,0.300412,83.388247,82.81658
IT,Male,2020,-1.540896,-1.052593,-0.438944,81.018823,79.973368
IT,Male,2021,-1.091651,-0.427308,0.353924,81.16141,80.731617
IT,Male,2022,-0.803984,-0.07193,0.868419,81.328578,81.257381
IT,Male,2023,-0.275149,0.663744,1.6927,81.355518,82.01919
IT,Male,2024,-0.027317,0.958762,2.11061,81.489865,82.456722
IT,Male,2020-2024,-0.647907,-0.035974,0.755211,81.273488,81.23331
IT,Female,2020,-1.741525,-1.00263,-0.312697,85.953111,84.940834
IT,Female,2021,-1.901174,-0.846092,0.197759,86.085061,85.257545
IT,Female,2022,-1.964582,-0.825688,0.440909,86.206039,85.375501
IT,Female,2023,-1.589246,-0.214984,1.131828,86.244316,86.039608
IT,Female,2024,-1.542503,0.065573,1.617394,86.35743,86.432827
IT,Female,2020-2024,-1.57706,-0.537241,0.346273,86.117635,85.576697
IT,Total,2020,-1.475582,-1.054741,-0.581047,83.531878,82.480314
IT,Total,2021,-1.216004,-0.664802,-0.013039,83.697559,83.045429
IT,Total,2022,-1.076345,-0.426069,0.337471,83.792586,83.37361
IT,Total,2023,-0.618842,0.248164,1.13793,83.849207,84.099625
IT,Total,2024,-0.407295,0.581071,1.500035,83.939768,84.515069
IT,Total,2020-2024,-0.900229,-0.29028,0.331604,83.74918,83.46019
LT,Male,2020,-2.151802,-1.28119,-0.274876,71.77268,70.496019
LT,Male,2021,-3.25336,-2.050808,-0.863393,71.941911,69.902399
LT,Male,2022,-1.907533,-0.475729,0.944691,72.113725,71.636399
LT,Male,2023,-1.045611,0.420728,2.157474,72.222598,72.671781
LT,Male,2024,-1.329418,0.286671,2.202665,72.467371,72.785953
LT,Male,2020-2024,-1.800172,-0.637899,0.656178,72.097671,71.455309
LT,Female,2020,-1.556967,-1.084776,-0.614189,81.57131,80.506217
LT,Female,2021,-3.265192,-2.636388,-2.02843,81.763511,79.104478
LT,Female,2022,-1.992651,-1.323316,-0.62771,81.93126,80.62395
LT,Female,2023,-1.119602,-0.240896,0.627577,82.158442,81.879504
LT,Female,2024,-1.360531,-0.488512,0.465526,82.293102,81.821415
LT,Female,2020-2024,-1.807607,-1.203033,-0.578108,81.912161,80.733143
LT,Total,2020,-1.829737,-1.262407,-0.628465,76.834156,75.569434
LT,Total,2021,-3.180497,-2.392223,-1.663655,76.969648,74.554999
LT,Total,2022,-1.821089,-0.877142,0.045219,77.148488,76.269444
LT,Total,2023,-0.826169,0.114616,1.207937,77.298502,77.435637
LT,Total,2024,-1.10494,4.8e-5,1.197395,77.468024,77.457915
LT,Total,2020-2024,-1.717439,-0.936526,-0.215105,77.135129,76.211005
LU,Male,2020,-1.196262,-0.308574,0.6395,80.268017,79.986059
LU,Male,2021,-1.158644,0.091883,1.29694,80.607517,80.648382
LU,Male,2022,-1.439714,-0.033858,1.517582,80.837266,80.794834
LU,Male,2023,-0.595112,0.98267,3.127659,81.10576,82.032488
LU,Male,2024,-2.436449,-0.553233,1.498636,81.377063,80.826494
LU,Male,2020-2024,-1.23597,0.018343,1.373209,80.777899,80.819582
LU,Female,2020,-1.359214,-0.514485,0.376805,85.342775,84.804383
LU,Female,2021,-1.495194,-0.384418,0.987488,85.566317,85.20261
LU,Female,2022,-1.5243390000000001,-0.087687,1.482297,85.736592,85.682638
LU,Female,2023,-2.189627,-0.52391,1.242356,85.843477,85.337381
LU,Female,2024,-2.009391,-0.213123,1.812146,86.022913,85.777418
LU,Female,2020-2024,-1.601071,-0.357537,0.913389,85.70401,85.340663
LU,Total,2020,-1.064372,-0.430282,0.289438,82.790314,82.36581
LU,Total,2021,-1.01489,-0.113128,0.870239,83.041945,82.913671
LU,Total,2022,-1.035275,0.018196,1.119775,83.235235,83.227822
LU,Total,2023,-0.801074,0.22873,1.656142,83.471302,83.676168
LU,Total,2024,-1.500996,-0.396238,1.006562,83.708589,83.29128
LU,Total,2020-2024,-0.994701,-0.122535,0.811973,83.196094,83.091707
LV,Male,2020,-1.147753,-0.42371,0.287989,71.531887,71.106632
LV,Male,2021,-4.207858,-3.181875,-2.208131,71.802515,68.65982
LV,Male,2022,-3.575543,-2.327346,-1.073828,72.112645,69.797086
LV,Male,2023,-2.634009,-1.407149,0.079729,72.428849,70.987126
LV,Male,2024,-1.803996,-0.458784,1.248939,72.753944,72.280355
LV,Male,2020-2024,-2.536526,-1.638329,-0.528956,72.144536,70.506246
LV,Female,2020,-0.984122,-0.44845,0.140943,80.847265,80.418488
LV,Female,2021,-3.592211,-2.876773,-2.131939,81.092793,78.210248000000007
LV,Female,2022,-2.602446,-1.742181,-0.82795,81.303852,79.578543
LV,Female,2023,-1.671222,-0.785882,0.31444,81.546954,80.781498
LV,Female,2024,-1.297399,-0.280083,0.929301,81.794633,81.513345
LV,Female,2020-2024,-1.92393,-1.276233,-0.499868,81.306033,80.041958
LV,Total,2020,-0.944902,-0.457091,0.061796,76.412712,75.942722
LV,Total,2021,-3.885048,-3.197458,-2.476914,76.66865,73.463885
LV,Total,2022,-3.019679,-2.137946,-1.308275,76.883306,74.763391
LV,Total,2023,-1.973087,-1.217681,-0.121516,77.18044,75.990455
LV,Total,2024,-1.319605,-0.390805,0.755813,77.444081,77.054374
LV,Total,2020-2024,-2.213736,-1.525199,-0.81036,76.91751,75.385509
NL,Male,2020,-1.35333,-1.055396,-0.781308,81.158086,80.098402
NL,Male,2021,-1.618232,-1.226859,-0.810219,81.37682,80.163171
NL,Male,2022,-1.614406,-1.082838,-0.565256,81.638479,80.547634
NL,Male,2023,-1.720099,-1.112865,-0.480116,81.880717,80.766526
NL,Male,2024,-1.71662,-1.125109,-0.378353,82.144925,81.016274
NL,Male,2020-2024,-1.551072,-1.133218,-0.658129,81.648182,80.516353
NL,Female,2020,-0.898314,-0.601951,-0.281715,84.174366,83.570176
