group,region_iso,region_name_en,year,age_group,e0_cntrb_t_mean,region_ggflag
A First wave peak,SE,Sweden,2020,40,-0.054317,se
A First wave peak,SE,Sweden,2020,60,-0.321097,se
A First wave peak,SE,Sweden,2020,80,-0.363295,se
A First wave peak,SE,Sweden,2020,100,-0.001578,se
A First wave peak,SE,Sweden,2020-2024,0,-0.036659,se
A First wave peak,SE,Sweden,2020-2024,20,0.035845,se
A First wave peak,SE,Sweden,2020-2024,40,-0.052868,se
A First wave peak,SE,Sweden,2020-2024,60,-0.23035,se
A First wave peak,SE,Sweden,2020-2024,80,-0.129902,se
A First wave peak,SE,Sweden,2020-2024,100,6.42e-4,se
A First wave peak,SE,Sweden,2021,0,-0.013051,se
A First wave peak,SE,Sweden,2021,20,0.019405,se
A First wave peak,SE,Sweden,2021,40,-0.067856,se
A First wave peak,SE,Sweden,2021,60,-0.255396,se
A First wave peak,SE,Sweden,2021,80,-0.036275,se
A First wave peak,SE,Sweden,2021,100,0.002768,se
A First wave peak,SE,Sweden,2022,0,-0.038161,se
A First wave peak,SE,Sweden,2022,20,0.032747,se
A First wave peak,SE,Sweden,2022,40,-0.050678,se
A First wave peak,SE,Sweden,2022,60,-0.253732,se
A First wave peak,SE,Sweden,2022,80,-0.168522,se
A First wave peak,SE,Sweden,2022,100,-6.73e-4,se
A First wave peak,SE,Sweden,2023,0,-0.045137,se
A First wave peak,SE,Sweden,2023,20,0.015529,se
A First wave peak,SE,Sweden,2023,40,-0.069933,se
A First wave peak,SE,Sweden,2023,60,-0.241562,se
A First wave peak,SE,Sweden,2023,80,-0.099194,se
A First wave peak,SE,Sweden,2023,100,-8.19e-4,se
A First wave peak,SE,Sweden,2024,0,-0.037251,se
A First wave peak,SE,Sweden,2024,20,0.08739,se
A First wave peak,SE,Sweden,2024,40,-0.021931,se
A First wave peak,SE,Sweden,2024,60,-0.076245,se
A First wave peak,SE,Sweden,2024,80,0.030894,se
A First wave peak,SE,Sweden,2024,100,0.005772,se
A First wave peak,SI,Slovenia,2020,0,-0.035625,si
A First wave peak,SI,Slovenia,2020,20,0.011447,si
A First wave peak,SI,Slovenia,2020,40,-0.080196,si
A First wave peak,SI,Slovenia,2020,60,-0.500413,si
A First wave peak,SI,Slovenia,2020,80,-0.602017,si
A First wave peak,SI,Slovenia,2020,100,-0.003092,si
A First wave peak,SI,Slovenia,2020-2024,0,-0.059155,si
A First wave peak,SI,Slovenia,2020-2024,20,-0.031799,si
A First wave peak,SI,Slovenia,2020-2024,40,-0.063356,si
A First wave peak,SI,Slovenia,2020-2024,60,-0.411096,si
A First wave peak,SI,Slovenia,2020-2024,80,-0.240268,si
A First wave peak,SI,Slovenia,2020-2024,100,0.003043,si
A First wave peak,SI,Slovenia,2021,0,-0.103607,si
A First wave peak,SI,Slovenia,2021,20,-0.005363,si
A First wave peak,SI,Slovenia,2021,40,-0.158154,si
A First wave peak,SI,Slovenia,2021,60,-0.712311,si
A First wave peak,SI,Slovenia,2021,80,-0.269993,si
A First wave peak,SI,Slovenia,2021,100,0.002176,si
A First wave peak,SI,Slovenia,2022,0,-0.07903,si
A First wave peak,SI,Slovenia,2022,20,-0.082205,si
A First wave peak,SI,Slovenia,2022,40,-0.036941,si
A First wave peak,SI,Slovenia,2022,60,-0.397415,si
A First wave peak,SI,Slovenia,2022,80,-0.224296,si
